Category,Skills
iot developer,"json, iot cloud platforms, web of things (wot), iot device security, blockchain (iot), telemetry systems, iot device management, vhdl, iot system architecture, thingspeak"
machine learning,"docker, artificial intelligence, dimensionality reduction, federated learning, transfer learning, kubernetes, data engineering, neural networks, model explainability, h2o.ai"
artificial intelligence,"ai ethics, hadoop, automl, machine learning, ai in autonomous vehicles"
cyber security,"single sign-on (sso), threat detection, threat intelligence, ids/ips, metasploit"
iot developer,"esp32, iot hardware, data storage, edge computing, python, nb-iot, network programming, sensors"
software engineer,"prometheus, data analysis, scrum, pandas, ansible, linux, kubernetes, python, jpa, confluence"
cyber security,"security tools, web application security, owasp, data loss prevention, dlp, cissp, compliance auditing, two-factor authentication, security patch management"
cyber security,"owasp top 10, fireeye, siem, endpoint protection, data loss prevention, cyber attack mitigation"
ui/ux designer,"ux design, wireframing, adobe xd, behavioral design, agile, accessibility standards, figma prototyping, user interface optimization, invision, user testing"
iot developer,"bluetooth, http, iot security, iot device security, arduino, machine learning, nb-iot"
ui/ux designer,"ux design, design thinking, javascript, ui design systems, figma, wireframes, trello, ui/ux strategy, prototype testing, customer experience"
artificial intelligence,"quantum ai, xgboost, machine learning, ai productization, reinforcement learning"
cloud engineer,"security groups, microservices, cloud data integration, cloud cost optimization, networking, cloud deployment, cloud management, cloud migration, cloud services, cloud load balancing"
database developer,"pl/sql, db2, oracle, database optimization, database security audits, replication, data analysis"
cyber security,"splunk, threat hunting, rhel security, it governance, identity and access management (iam)"
full stack developer,"responsive design, github, ux/ui prototyping, mobile web development, jest"
mobile application developer,"objective-c, app analytics, flutter, swift, git"
ui/ux designer,"color theory, balsamiq, html/css, agile, css grid, photoshop, miro, a/b testing, design software, ux analytics"
mobile application developer,"version control, apis, app security, app deployment, cloud integration, uikit, mobile app prototyping, app updates"
web developer,"responsive design, express.js, version control, front-end frameworks, javascript, node.js, material ui, ruby, mockups, node.js"
data analyst,"data reporting, jupyter notebooks, data wrangling, azure, data visualization, tableau, data modeling, power query, a/b testing"
database developer,"t-sql, oracle, mysql, database automation, etl, data structures, database high availability, cassandra, database performance, data governance"
mobile application developer,"react native, app store review, mobile sdk, version control, app store guidelines, app refactoring, ui/ux prototyping"
artificial intelligence,"graph neural networks (gnn), matplotlib, ai-driven analytics, bayesian inference, seaborn, ai software development, spark, model deployment"
mobile application developer,"in-app purchases, cloud integration, swift, ui/ux prototyping, git, app design"
data analyst,"agile, sql, predictive analytics, spss, data science, data cleansing"
backend developer,"ci/cd, containerization, database design, database management, terraform, aws, mongodb, flask, microservices architecture"
machine learning,"hyperparameter tuning, data visualization, generative adversarial networks (gans), edge ai, classification algorithms, text mining, linear regression, model deployment, natural language understanding (nlu), model optimization"
network engineer,"bgp, ipsec, lan/wan, network auditing, scripting, ntp, network security"
big data engineer,"apache hive, python, apache kafka, elasticsearch, data architecture, graph databases, cassandra"
cloud engineer,"scripting, cloud data integration, network security, aws s3, cloud design patterns, python, chef"
ui/ux designer,"user-centered design, usability testing, storytelling, user interface guidelines, information architecture, balsamiq, sketch, customer experience, user testing"
ui/ux designer,"interaction design, ui/ux strategy, user flows, zeplin, user testing, design thinking, ui design systems"
big data engineer,"hadoop, big data frameworks, apache nifi, apache hive, java, mongodb, data architecture, spark, zookeeper"
software engineer,"scikit-learn, embedded linux, etl, git, firebase, nosql, ethical hacking, objective-c, jpa, ui/ux design"
network engineer,"network management, juniper networks, vpn tunnels, vlans, network troubleshooting tools"
full stack developer,"mobile application development, web development, gcp, mysql, frontend frameworks, web performance optimization, mobile web development, html5, cross-browser compatibility"
backend developer,"data structures, junit testing, java, graphql apis, jwt, mockito"
database developer,"redis, cloud databases, xml, dynamodb, sql reporting, db2, mongodb atlas, data modeling, aws database"
data analyst,"spark, customer data platforms, sql queries, hadoop, jupyter notebooks"
artificial intelligence,"data visualization, automl, ai solutions, big data, cloud-based ai, ai-based optimization, graph neural networks (gnn)"
network engineer,"cisco ccie, network auditing, firewalls, ntp, palo alto networks, cisco ccna"
artificial intelligence,"big data analytics, azure ai, supervised learning, machine learning, ai in iot, data science, ai for robotics"
backend developer,"mockito, apache kafka, apis, linux, kubernetes, graphql apis, docker, redis streams, test automation, distributed caching"
artificial intelligence,"ai for finance, graph neural networks (gnn), cloud-based ai, ai for robotics, edge ai, nlp, computer vision algorithms, support vector machines (svm)"
information technology,"network security, cloud security, api management, it security, windows 10, git, cloud deployment, java"
